Brand,Model,Year of Fabrication,Kilometres,Location,PriceEuro,PriceLei
Hyundai,Santa Fe,2014,172 200 km,"STR. RUBINULUI 8 - 707083 Valea Lupului, Judet Iasi (Romania)","15 700","15 700"
Mercedes-Benz,ML,2012,213 000 km,"Str. Unirii, Nr. 11 - 430271 Baia Mare, Judet Maramures (Romania)","20 990","20 990"
Toyota,C-HR,2019,78 324 km,"Strada Padina 1, Bucharest, Romania - 015015 Bucuresti, Judet Bucuresti (Romania)","19 350","19 350"
BMW,Seria 5,2013,138 910 km,"Sibiu, Judet Sibiu","19 500","19 500"
Mercedes-Benz,GLC,2021,13 543 km,"Str Gheorghe Doja nr 304 - 540237 Targu-Mures, Judet Mures (Romania)","85 561","85 561"
Mercedes-Benz,CLS,2019,104 000 km,"SOS ALEXANDRIEI NR.83 - 077025 Ilfov, Judet Ilfov (Romania)","52 715","52 715"
Lexus,Seria ES,2019,121 000 km,"STR. RUBINULUI 8 - 707083 Valea Lupului, Judet Iasi (Romania)","36 295","36 295"
BMW,Seria 3,2017,209 157 km,"STR.VALEA CASCADELOR 11 F , SECTOR 6 BUCURESTI - 061511 Bucuresti, Judet Bucuresti (Romania)","18 599","18 599"
Ford,Focus,2016,92 700 km,"Bucuresti, Sectorul 5","9 150","9 150"
Toyota,Auris,2016,125 000 km,"Bucuresti, Sectorul 5","9 000","9 000"
Hyundai,I30,2016,115 714 km,"Bucuresti, Sectorul 4","9 700","9 700"
BMW,X6,2014,230 000 km,"Com. Sacalaz, Sat Sacalaz, Str. Industriei Nr.2 - 307370 Timisoara, Judet Timis (Romania)","26 990","26 990"
Opel,Astra,2019,176 000 km,"Bucuresti, Sectorul 5","8 950","8 950"
Fiat,Tipo,2017,205 749 km,"Calea Bucurestilor, nr. 224E - 075150 Otopeni, Judet Bucuresti - Ilfov (Romania)","6 199","6 199"
Lexus,Seria NX,2018,169 091 km,"Bulevardul Biruinței 140, Pantelimon, România - 077145 Pantelimon, Judet Bucuresti - Ilfov (Romania)","24 990","24 990"
Dacia,Duster,2015,189 000 km,"str piscul crasani nr 87 - 062337 Bucuresti, Judet Bucuresti (Romania)","8 450","8 450"
Ford,Kuga,2017,184 004 km,"Calea Bucurestilor, nr. 224E - 075150 Otopeni, Judet Bucuresti - Ilfov (Romania)","16 999","16 999"
Volkswagen,Touareg,2015,163 214 km,"Sibiu, Judet Sibiu","21 500","21 500"
Opel,Astra,2019,35 000 km,"Maresal Averescu 8-10 - 011455 Bucuresti, Judet Bucuresti (Romania)","10 234","10 234"
Ford,Kuga,2018,78 129 km,"STR. DISTRIBUTIEI, NR. 4 - 550135 Sibiu, Judet Sibiu (Romania)","17 951","17 951"
Mercedes-Benz,GLA,2019,32 952 km,"Strada Padina 1, Bucharest, Romania - 015015 Bucuresti, Judet Bucuresti (Romania)","22 950","22 950"
BMW,Seria 1,2012,212 000 km,"Constructorilor nr 28 - 300571 Timisoara, Judet Timis (Romania)","7 999","7 999"
Ford,Focus,2010,249 999 km,"Bd. Timisoara nr. 104E - 61334 Bucuresti, Judet Bucuresti (Romania)","2 999","2 999"
BMW,X4,2018,112 002 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","41 638","41 638"
Audi,A8,2022,27 500 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","80 906","80 906"
Dacia,Dokker,2013,139 000 km,"Strada Transilvaniei 92, Baciu, Cluj - Napoca, Clu - 407055 Cluj-Napoca, Judet Cluj (Romania)","8 200","8 200"
Jaguar,F-Pace,2018,178 000 km,"Bucuresti, Sectorul 6","22 900","22 900"
Nissan,Qashqai+2,2012,184 271 km,"Str. Corneliu Coposu - 40000 Cluj-Napoca, Judet Cluj (Romania)","9 850","9 850"
Ford,Focus,2019,124 446 km,"Strada Padina 1, Bucharest, Romania - 015015 Bucuresti, Judet Bucuresti (Romania)","11 950","11 950"
BMW,X6,2012,265 000 km,"Braila, Judet Braila","14 900","14 900"
Dacia,Duster,2022,29 999 km,"Bd. Timisoara nr. 104E - 61334 Bucuresti, Judet Bucuresti (Romania)","17 890","17 890"
BMW,X6,2021,97 200 km,"Sat Apahida, Comuna Apahida Strada Liliacului 13, - 407035 Apahida, Judet Cluj (Romania)","79 900","79 900"
Mercedes-Benz,EQS,2022,7 km,"Calea Bucuresti nr.241, - 324767 Brasov, Judet Brasov (Romania)","149 945","149 945"
Volvo,V40,2015,167 500 km,"Bucuresti, Sectorul 1","8 450","8 450"
Audi,A6,2019,159 152 km,"Strada Padina 1, Bucharest, Romania - 015015 Bucuresti, Judet Bucuresti (Romania)","31 250","31 250"
Volkswagen,Passat,2016,197 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","12 500","12 500"
Audi,A4,2007,251 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","4 950","4 950"
Dacia,Duster,2018,180 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","10 750","10 750"
Kia,Sportage,2012,206 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","9 300","9 300"
Mercedes-Benz,S,2015,147 522 km,"Strada Virgiliu 46, Bucharest, Romania - 010884 Bucuresti, Judet Bucuresti (Romania)","38 500","38 500"
Toyota,Avensis,2012,197 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","8 250","8 250"
Opel,Astra,2019,184 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","10 250","10 250"
Volkswagen,Passat,2011,235 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","9 000","9 000"
BMW,Seria 3,2011,208 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","6 650","6 650"
Volkswagen,Passat,2020,90 500 km,"Str Intre Lacuri Nr.6 cluj napoca - 400601 Cluj-Napoca, Judet Cluj (Romania)","25 999","25 999"
Honda,Jazz,2011,140 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","5 450","5 450"
Seat,Ibiza,2015,140 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","5 750","5 750"
Kia,Sportage,2019,37 000 km,"DN E85, Nr 83 - 212329 Gura Calnaului, Judet Buzau (Romania)","19 800","19 800"
Mercedes-Benz,S,2018,79 000 km,"DN E85, Nr 83 - 212329 Gura Calnaului, Judet Buzau (Romania)","74 999","74 999"
Nissan,Qashqai+2,2010,201 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","7 250","7 250"
Mazda,5,2007,193 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","3 800","3 800"
Land Rover,Range Rover,2018,121 000 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","59 500","59 500"
BMW,Seria 5,2017,154 500 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","32 713","32 713"
Hyundai,Tucson,2021,23 700 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","38 066","38 066"
Volkswagen,Golf,2017,209 000 km,"Strada Avram Iancu 142A - 407280 Floresti, Judet Cluj (Romania)","10 489","10 489"
Volkswagen,Tiguan,2019,122 506 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","24 490","24 490"
Jeep,Wrangler,2020,64 000 km,"spatar milescu - 100451 Ploiesti, Judet Prahova (Romania)","60 214","60 214"
BMW,X6 M,2020,40 500 km,"Bucuresti, Splaiul Unirii, Nr. 311, Sec 3. - 236578 Bucuresti, Judet Bucuresti (Romania)","84 899","84 899"
Volkswagen,Touareg,2019,199 000 km,"Str.Plevnei Nr.117 - 400394 Cluj-Napoca, Judet Cluj (Romania)","39 990","39 990"
Volkswagen,Golf,2021,19 500 km,"B-dul Garii nr. 3A - 500199 Brasov, Judet Brasov (Romania)","26 775","26 775"
Skoda,Scala,2023,2 300 km,"B-dul Garii nr. 3A - 500199 Brasov, Judet Brasov (Romania)","18 326","18 326"
BMW,X1,2014,219 500 km,"com. Geamana Str. Targului ,NR 21/ IN PITESTI/ - 117141 Pitesti, Judet Arges (Romania)","12 490","12 490"
Toyota,Corolla,2019,57 217 km,"STR. DISTRIBUTIEI, NR. 4 - 550135 Sibiu, Judet Sibiu (Romania)","19 850","19 850"
Volkswagen,Passat,2018,253 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","13 300","13 300"
Mercedes-Benz,B,2014,216 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","9 300","9 300"
Mercedes-Benz,CLA,2018,105 000 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","22 955","22 955"
Bentley,Continental,2022,4 900 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","235 620","235 620"
BMW,X6 M,2023,190 km,"Strada Verzisori Nr.50 - 040301 Bucuresti, Judet Bucuresti (Romania)","158 984","158 984"
BMW,Seria 5,2019,115 762 km,"STR. DISTRIBUTIEI, NR. 4 - 550135 Sibiu, Judet Sibiu (Romania)","31 990","31 990"
Ford,Focus,2010,280 791 km,"STR. DISTRIBUTIEI, NR. 4 - 550135 Sibiu, Judet Sibiu (Romania)","3 490","3 490"
Audi,Q7,2020,125 500 km,"Soseaua Sighisoarei nr 395/p - 547367 Corunca, Judet Mures (Romania)","61 989","61 989"
Lamborghini,Huracan,2016,28 000 km,"Strada Comerțului 5, Domnești, Ilfov, Romania - 077090 Domnesti, Judet Bucuresti - Ilfov (Romania)","219 000","219 000"
Ferrari,488 Spider,2018,22 000 km,"Strada Comerțului 5, Domnești, Ilfov, Romania - 077090 Domnesti, Judet Bucuresti - Ilfov (Romania)","225 000","225 000"
BMW,X5 M,2021,25 000 km,"Strada Comerțului 5, Domnești, Ilfov, Romania - 077090 Domnesti, Judet Bucuresti - Ilfov (Romania)","95 000","95 000"
Lamborghini,Huracan,2020,13 000 km,"Strada Comerțului 5, Domnești, Ilfov, Romania - 077090 Domnesti, Judet Bucuresti - Ilfov (Romania)","258 999","258 999"
Audi,Q5,2017,96 929 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","33 308","33 308"
Volkswagen,Golf Plus,2013,156 000 km,"PITESTI - 117141 Pitesti, Judet Arges (Romania)","6 590","6 590"
Mitsubishi,Outlander,2019,91 000 km,"B-dul Garii nr. 3A - 500199 Brasov, Judet Brasov (Romania)","23 990","23 990"
Volkswagen,Golf Plus,2008,163 000 km,"Ion Ionescu de la Brad,nr.29 - 300245 Timisoara, Judet Timis (Romania)","4 900","4 900"
Renault,Koleos,2012,185 000 km,"Bucuresti, Sectorul 1","7 649","7 649"
BMW,X5,2020,110 084 km,"Bulevardul Pipera 1 Voluntari, Romania - 077191 Voluntari, Judet Bucuresti - Ilfov (Romania)","65 450","65 450"
Audi,A6,2015,235 000 km,"Str.Plevnei Nr.117 - 400394 Cluj-Napoca, Judet Cluj (Romania)","21 490","21 490"
Kia,Sportage,2011,194 000 km,"Constructorilor nr 28 - 300571 Timisoara, Judet Timis (Romania)","8 999","8 999"
DS Automobiles,DS 4 Crossback,2017,114 771 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","15 458","15 458"
Audi,A6,2017,206 000 km,"Str.Plevnei Nr.117 - 400394 Cluj-Napoca, Judet Cluj (Romania)","21 490","21 490"
Mercedes-Benz,G,2023,1 200 km,"Strada Comerțului 5, Domnești, Ilfov, Romania - 077090 Domnesti, Judet Bucuresti - Ilfov (Romania)","159 000","159 000"
Volkswagen,Passat,2019,166 181 km,"Brasov Prejmer strada mare 645A - 507165 Prejmer, Judet Brasov (Romania)","13 450","13 450"
Audi,A6,2016,178 000 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","21 350","21 350"
Audi,A5,2018,179 600 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","24 990","24 990"
BMW,Seria 3,2018,157 000 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","23 970","23 970"
BMW,X3,2015,179 600 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","21 955","21 955"
