Brand,Model,Year of Fabrication,Kilometres,Location,PriceEuro
Audi,A5,2019,78 800 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","25 990"
Peugeot,508,2014,162 000 km,"EUGEN IONESCO 109 A - 400357 Cluj-Napoca, Judet Cluj (Romania)","6 589"
Audi,A4,2017,185 728 km,"Strada Targoviste, nr 10 - 100299 Ploiesti, Judet Prahova (Romania)","14 489"
Nissan,Qashqai,2015,157 300 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","10 970"
Mercedes-Benz,GLA,2020,38 003 km,"STR. CALEA TURZII, NR. 172 - 400495 Cluj-Napoca, Judet Cluj (Romania)","39 989"
BMW,Seria 5,2019,173 240 km,"B-dul Iuliu Maniu 15H - 061075 Bucuresti, Judet Bucuresti (Romania)","26 775"
Volvo,XC 60,2014,187 000 km,"Strada Transilvaniei 92, Baciu, Cluj - Napoca, Clu - 407055 Cluj-Napoca, Judet Cluj (Romania)","13 999"
Seat,Ibiza,2021,46 577 km,"Strada Padina 1, Bucharest, Romania - 015015 Bucuresti, Judet Bucuresti (Romania)","9 850"
Volvo,V50,2010,193 000 km,"Strada Transilvaniei 92, Baciu, Cluj - Napoca, Clu - 407055 Cluj-Napoca, Judet Cluj (Romania)","4 500"
Toyota,C-HR,2021,65 744 km,"Strada Padina 1, Bucharest, Romania - 015015 Bucuresti, Judet Bucuresti (Romania)","20 950"
Mercedes-Benz,GLC,2019,67 724 km,"Strada Padina 1, Bucharest, Romania - 015015 Bucuresti, Judet Bucuresti (Romania)","31 950"
Nissan,Juke,2015,176 281 km,"Str. Corneliu Coposu - 40000 Cluj-Napoca, Judet Cluj (Romania)","10 250"
Volkswagen,Touareg,2013,253 000 km,"Slatina, Judet Olt","15 000"
Nissan,X-Trail,2019,92 884 km,"Strada Padina 1, Bucharest, Romania - 015015 Bucuresti, Judet Bucuresti (Romania)","19 550"
BMW,X5,2020,77 000 km,"Strada Avionului nr.9 - 014332 Bucuresti, Judet Bucuresti (Romania)","65 979"
Dacia,Sandero,2018,61 054 km,"Strada Padina 1, Bucharest, Romania - 015015 Bucuresti, Judet Bucuresti (Romania)","9 350"
Volkswagen,Tiguan,2018,72 000 km,"Cluj-Napoca, Judet Cluj","29 000"
BMW,Seria 3,2013,199 999 km,"Pitesti, Judet Arges","12 999"
Volkswagen,Golf,2019,163 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","13 000"
BMW,Seria 4,2016,150 000 km,"EUGEN IONESCO 109 A - 400357 Cluj-Napoca, Judet Cluj (Romania)","17 594"
BMW,X6,2017,168 000 km,"Strada Soarelui nr 10, Constanta - 900426 Constanta, Judet Constanta (Romania)","36 990"
Dacia,Dokker,2018,55 182 km,"Strada Padina 1, Bucharest, Romania - 015015 Bucuresti, Judet Bucuresti (Romania)","9 750"
Mercedes-Benz,C,2022,44 990 km,"Bulevardul Pipera 28-30 - 077190 Ilfov, Judet Ilfov (Romania)","42 840"
Volkswagen,Passat CC,2013,199 999 km,"Pitesti, Judet Arges","11 999"
Audi,A6,2019,69 873 km,"Strada Padina 1, Bucharest, Romania - 015015 Bucuresti, Judet Bucuresti (Romania)","33 250"
Volkswagen,Passat,2020,163 000 km,"str. Amurgului, nr. 1 - 300278 Timisoara, Judet Timis (Romania)","23 800"
Ford,Kuga,2020,112 650 km,"STR. ALUNIS NR.192 - 077124 Magurele, Judet Bucuresti - Ilfov (Romania)","24 979"
